genotype	texture	date_plate	avg6	avg1
ORL	smooth	dec_1_1_1	79.329	13
ORL	smooth	dec_1_1_1	79.193	11.314
ORL	smooth	dec_1_1_1	73.965	11.314
ORL	smooth	dec_1_1_1	81.561	13.038
ORL	smooth	dec_1_1_1	74.274	13.038
ORL	smooth	dec_1_1_1	81.366	9.22
ORL	smooth	dec_1_1_1	78.793	9.22
ORL	smooth	dec_1_1_1	64.666	25.06
ORL	smooth	dec_1_1_1	54.552	20.94
ORL	smooth	dec_1_1_1	51.107	12.53
ORL	smooth	dec_1_1_1	54.685	12.53
ORL	smooth	dec_1_1_1	54.714	14.213
ORL	smooth	dec_1_1_1	47.789	17
ORL	smooth	dec_1_1_1	41.798	16.125
ORL	smooth	dec_1_1_1	43.486	10.63
ORL	smooth	dec_1_1_1	47.144	10.63
ORL	smooth	dec_1_1_1	45.705	19.313
ORL	smooth	dec_1_1_1	63.96	28.601
ORL	smooth	dec_1_1_1	67.468	9.849
ORL	smooth	dec_1_1_1	74.905	9.849
ORL	smooth	dec_1_1_1	30.761	12.104
ORL	smooth	dec_1_1_1	30.618	21.213
ORL	smooth	dec_1_1_1	20.047	14.318
ORL	smooth	dec_1_1_1	19.853	11.662
ORL	smooth	dec_1_1_1	17.863	10
ORL	smooth	dec_1_1_1	20.961	10
ORL	smooth	dec_1_1_1	27.489	13
ORL	smooth	dec_1_1_1	29.601	9
ORL	smooth	dec_1_1_1	24.352	9
ORL	smooth	dec_1_1_1	20.629	14.318
ORL	smooth	dec_1_1_1	19.486	15.811
ORL	smooth	dec_1_1_1	15.497	12.042
ORL	smooth	dec_1_1_1	22.24	10.05
ORL	smooth	dec_1_1_1	19.956	10.05
ORL	smooth	dec_1_1_1	26.105	18.601
ORL	smooth	dec_1_1_1	23.738	12.042
ORL	smooth	dec_1_1_1	25.772	12.042
ORL	smooth	dec_1_1_1	34.642	13.416
ORL	smooth	dec_1_1_1	32.253	19.416
ORL	smooth	dec_1_1_1	68.395	28.071
ORL	smooth	dec_1_1_1	57.963	28.071
ORL	smooth	dec_1_1_1	46.439	15.811
ORL	smooth	dec_1_1_1	38.395	15.811
ORL	smooth	dec_1_1_1	34.46	17.088
ORL	smooth	dec_1_1_1	31.359	19.925
ORL	smooth	dec_1_1_1	31.651	22.023
ORL	smooth	dec_1_1_1	26.144	16.125
ORL	smooth	dec_1_1_1	24.085	16.125
ORL	smooth	dec_1_1_1	23.357	17.72
ORL	smooth	dec_1_1_1	30.391	18
ORL	smooth	dec_1_1_1	27.177	15.133
ORL	smooth	dec_1_1_1	22.739	12.53
ORL	smooth	dec_1_1_1	25.422	12.53
ORL	smooth	dec_1_1_1	28.823	11.705
ORL	smooth	dec_1_1_1	31.893	11.705
ORL	smooth	dec_1_1_1	128.737	30
ORL	smooth	dec_1_1_1	122.438	30
ORL	smooth	dec_1_1_1	28.079	18.028
ORL	smooth	dec_1_1_1	33.058	18.028
ORL	smooth	dec_1_1_1	26.171	19.209
ORL	smooth	dec_1_1_1	20.194	10
ORL	smooth	dec_1_1_1	19.673	10
ORL	smooth	dec_1_1_1	22.675	11.18
ORL	smooth	dec_1_1_1	23.264	17
ORL	smooth	dec_1_1_1	28.081	14.213
ORL	smooth	dec_1_1_1	35.337	14.213
ORL	smooth	dec_1_1_1	200.273	12.806
ORL	smooth	dec_1_1_1	191.786	12.806
ORL	smooth	dec_1_1_1	180.786	11
ORL	smooth	dec_1_1_1	181.874	11
ORL	smooth	dec_1_1_1	82.016	14.56
ORL	smooth	dec_1_1_1	83.153	14.56
ORL	smooth	dec_1_1_1	73.736	16.971
ORL	smooth	dec_1_1_1	71.817	16.971
ORL	smooth	dec_1_1_1	111.113	16.643
ORL	smooth	dec_1_1_1	121.669	16.279
